Date,AN,AP,AR,AS,BR,CH,CG,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,MP,MH,MN,MZ,OD,PY,PB,RJ,TN,TS,UK,UP,WB
Jan-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mar-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mar-04,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
Mar-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mar-06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Mar-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-09,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Mar-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Mar-11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mar-12,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,2,0
Mar-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0
Mar-14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,1,0
Mar-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,2,0,0,0
Mar-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,6,0,0,1,0,0,0,0,0,0,0,0
Mar-17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,4,0,3,0,0,0,0,0,0,0,2,0,2,0
Mar-18,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,3,0,0,0,1,0,1,0,0,0,2,1
Mar-19,0,0,0,0,0,1,1,2,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,1,3,1,1,1,4,0
Mar-20,0,2,0,0,0,0,0,5,0,5,0,0,0,0,1,1,2,0,5,0,0,1,0,1,10,1,11,0,4,1
Mar-21,0,0,0,0,0,0,0,8,0,2,0,2,0,0,0,12,3,4,11,0,0,0,0,11,0,0,4,2,0,1
Mar-22,0,2,0,0,2,4,0,3,0,11,4,0,0,0,11,12,0,0,8,0,0,0,0,7,5,3,1,0,3,1
Mar-23,0,2,0,0,0,1,0,0,0,11,5,1,0,0,4,15,0,2,7,0,0,0,0,2,4,3,10,0,4,3
Mar-24,0,1,0,0,1,1,0,0,0,4,2,0,0,0,7,28,0,1,15,1,0,0,0,6,4,6,3,1,2,2
Mar-25,0,1,0,0,0,0,1,1,0,5,0,0,3,0,4,14,0,7,35,0,1,0,0,4,4,3,0,0,4,0
Mar-26,1,2,0,0,3,0,4,5,3,5,2,0,6,0,14,9,0,6,0,0,0,0,0,0,5,8,9,1,4,1
Mar-27,1,3,0,0,3,0,0,3,0,2,3,0,5,0,0,43,0,10,29,0,0,1,0,5,7,12,4,0,4,5
Mar-28,4,0,0,0,0,1,0,0,0,0,0,0,2,0,9,15,0,0,27,0,0,0,0,0,6,2,8,0,10,0
Mar-29,3,5,0,0,2,0,1,10,2,13,0,0,11,0,12,6,0,0,6,0,0,0,0,0,1,9,10,2,10,3
Mar-30,0,4,0,0,4,0,0,48,0,11,3,0,17,0,7,37,0,17,21,0,0,0,0,0,4,18,5,0,27,4
Mar-31,1,17,0,0,0,5,1,0,0,4,4,0,6,0,0,15,0,0,47,0,0,0,0,3,15,7,8,0,9,4
Apr-01,0,43,0,1,8,3,1,55,0,9,3,0,8,1,18,7,0,19,48,0,0,1,2,1,19,160,17,0,0,11
Apr-02,0,3,0,4,1,0,0,67,0,5,0,0,0,0,9,24,0,33,33,0,0,0,0,4,15,0,11,0,10,16
Apr-03,0,46,1,11,5,2,0,0,1,8,6,3,13,1,14,21,1,5,0,1,0,1,2,2,59,75,51,3,59,10
